temp,r,vt,v
95.0,0.0,2277.0,1770.0
90.0,0.0,2249.0,1742.0
85.0,0.0,2212.0,1705.0
80.0,0.0,2169.0,1662.0
75.0,0.0,2141.0,1634.0
70.0,0.0,2096.0,1589.0
65.0,0.0,2042.0,1535.0
60.0,0.0,1968.0,1461.0
55.0,0.0,1885.0,1378.0
50.0,0.0,1796.0,1289.0
45.0,0.0,1699.0,1192.0
40.0,0.0,1590.0,1083.0
35.0,0.0,1481.0,974.0
30.0,0.0,1379.0,872.0
25.0,0.0,1266.0,759.0
20.0,0.0,1126.0,619.0
17.5,0.0,1058.0,551.0
